Class_of_Outlet,Type_of_Outlet,Outlet_ID
H,DE,CD02686
SH,DE,CD02687
M,RE,CD02688
H,HA,CD02689
M,HA,CD02690
M,HA,CD02691
VL,HA,CD02692
M,DE,CD02693
L,HA,CD02694
H,HA,CD02695
M,DE,CD02696
L,RE,CD02697
H,DE,CD02698
L,HA,CD02699
M,DE,CD02700
L,HA,CD02701
L,HA,CD02702
VL,RE,CD02703
L,RE,CD02704
VL,DE,CD02705
L,HA,CD02706
H,HA,CD02707
L,RE,CD02708
M,RE,CD02709
H,DE,CD02710
H,DE,CD02711
L,DE,CD02712
VL,RE,CD02713
M,DE,CD02714
H,RE,CD02715
H,RE,CD02716
H,RE,CD02717
VL,RE,CD02718
M,DE,CD02719
L,RE,CD02720
M,DE,CD02721
VL,HA,CD02722
L,RE,CD02723
M,RE,CD02724
SH,DE,CD02725
VL,DE,CD02726
SH,DE,CD02727
L,HA,CD02728
L,RE,CD02729
SH,RE,CD02730
H,RE,CD02731
VL,RE,CD02732
L,HA,CD02733
H,HA,CD02734
L,DE,CD02735
L,RE,CD02736
H,RE,CD02737
SH,HA,CD02738
VL,RE,CD02739
M,HA,CD02740
VL,HA,CD02741
H,DE,CD02742
L,HA,CD02743
VL,DE,CD02744
H,HA,CD02745
VL,DE,CD02746
M,DE,CD02747
H,RE,CD02748
VL,RE,CD02749
H,HA,CD02750
VL,HA,CD02751
SH,RE,CD02752
SH,DE,CD02753
VL,HA,CD02754
M,DE,CD02755
L,RE,CD02756
M,RE,CD02757
SH,DE,CD02758
L,RE,CD02759
VL,HA,CD02760
L,DE,CD02761
SH,HA,CD02762
M,HA,CD02763
M,DE,CD02764
SH,RE,CD02765
M,HA,CD02766
L,RE,CD02767
SH,HA,CD02768
L,RE,CD02769
VL,HA,CD02770
M,RE,CD02771
H,HA,CD02772
VL,DE,CD02773
SH,HA,CD02774
L,DE,CD02775
L,HA,CD02776
SH,RE,CD02777
SH,RE,CD02778
M,DE,CD02779
VL,DE,CD02780
L,DE,CD02781
H,HA,CD02782
H,RE,CD02783
L,DE,CD02784
M,RE,CD02785
SH,RE,CD02786
VL,DE,CD02787
H,RE,CD02788
M,DE,CD02789
H,HA,CD02790
VL,RE,CD02791
SH,RE,CD02792
H,HA,CD02793
L,RE,CD02794
H,RE,CD02795
L,RE,CD02796
VL,RE,CD02797
SH,RE,CD02798
VL,RE,CD02799
VL,DE,CD02800
VL,DE,CD02801
M,HA,CD02802
SH,RE,CD02803
H,DE,CD02804
M,DE,CD02805
L,RE,CD02806
H,HA,CD02807
L,DE,CD02808
SH,HA,CD02809
SH,RE,CD02810
M,DE,CD02811
VL,DE,CD02812
H,RE,CD02813
M,DE,CD02814
SH,HA,CD02815
L,DE,CD02816
H,RE,CD02817
M,HA,CD02818
H,DE,CD02819
H,HA,CD02820
M,DE,CD02821
VL,DE,CD02822
M,RE,CD02823
M,DE,CD02824
SH,DE,CD02825
M,RE,CD02826
L,DE,CD02827
L,RE,CD02828
M,RE,CD02829
L,RE,CD02830
M,HA,CD02831
H,DE,CD02832
SH,DE,CD02833
VL,HA,CD02834
SH,RE,CD02835
M,DE,CD02836
H,RE,CD02837
VL,RE,CD02838
M,DE,CD02839
H,RE,CD02840
M,HA,CD02841
H,HA,CD02842
VL,DE,CD02843
L,DE,CD02844
M,HA,CD02845
SH,DE,CD02846
L,RE,CD02847
H,HA,CD02848
L,DE,CD02849
L,DE,CD02850
VL,RE,CD02851
VL,RE,CD02852
VL,RE,CD02853
SH,HA,CD02854
H,DE,CD02855
VL,DE,CD02856
M,RE,CD02857
M,HA,CD02858
SH,HA,CD02859
H,DE,CD02860
M,HA,CD02861
L,RE,CD02862
H,DE,CD02863
H,DE,CD02864
VL,RE,CD02865
L,HA,CD02866
SH,HA,CD02867
M,RE,CD02868
L,DE,CD02869
M,HA,CD02870
M,RE,CD02871
M,HA,CD02872
VL,RE,CD02873
VL,RE,CD02874
VL,HA,CD02875
L,HA,CD02876
H,DE,CD02877
H,HA,CD02878
H,HA,CD02879
L,DE,CD02880
VL,HA,CD02881
H,DE,CD02882
SH,RE,CD02883
SH,RE,CD02884
VL,DE,CD02885
VL,DE,CD02886
L,RE,CD02887
H,RE,CD02888
SH,RE,CD02889
M,RE,CD02890
H,DE,CD02891
VL,RE,CD02892
M,RE,CD02893
L,DE,CD02894
M,RE,CD02895
SH,RE,CD02896
M,DE,CD02897
L,RE,CD02898
SH,DE,CD02899
VL,HA,CD02900
H,HA,CD02901
SH,HA,CD02902
H,RE,CD02903
M,RE,CD02904
M,DE,CD02905
SH,HA,CD02906
M,DE,CD02907
H,RE,CD02908
SH,RE,CD02909
M,HA,CD02910
VL,RE,CD02911
H,RE,CD02912
M,HA,CD02913
H,DE,CD02914
L,HA,CD02915
H,DE,CD02916
L,HA,CD02917
L,DE,CD02918
H,HA,CD02919
VL,DE,CD02920
H,HA,CD02921
VL,RE,CD02922
M,HA,CD02923
H,RE,CD02924
L,DE,CD02925
H,RE,CD02926
L,RE,CD02927
H,HA,CD02928
H,HA,CD02929
VL,HA,CD02930
H,HA,CD02931
H,HA,CD02932
SH,DE,CD02933
H,HA,CD02934
M,RE,CD02935
SH,HA,CD02936
M,DE,CD02937
VL,DE,CD02938
H,DE,CD02939
M,RE,CD02940
VL,DE,CD02941
SH,HA,CD02942
L,HA,CD02943
VL,DE,CD02944
VL,HA,CD02945
H,RE,CD02946
M,DE,CD02947
SH,DE,CD02948
M,HA,CD02949
L,DE,CD02950
L,DE,CD02951
H,RE,CD02952
M,HA,CD02953
M,DE,CD02954
L,RE,CD02955
SH,HA,CD02956
H,HA,CD02957
SH,RE,CD02958
H,HA,CD02959
SH,DE,CD02960
L,RE,CD02961
H,RE,CD02962
M,HA,CD02963
VL,DE,CD02964
M,HA,CD02965
L,RE,CD02966
L,RE,CD02967
L,DE,CD02968
VL,RE,CD02969
VL,HA,CD02970
M,HA,CD02971
H,RE,CD02972
VL,RE,CD02973
M,DE,CD02974
H,RE,CD02975
H,RE,CD02976
VL,DE,CD02977
SH,RE,CD02978
H,RE,CD02979
SH,DE,CD02980
L,RE,CD02981
SH,HA,CD02982
L,RE,CD02983
H,DE,CD02984
VL,DE,CD02985
H,DE,CD02986
L,DE,CD02987
M,RE,CD02988
VL,RE,CD02989
M,HA,CD02990
VL,DE,CD02991
SH,DE,CD02992
M,DE,CD02993
VL,RE,CD02994
L,RE,CD02995
H,HA,CD02996
SH,DE,CD02997
H,HA,CD02998
H,RE,CD02999
H,HA,CD03000
H,RE,CD03001
H,DE,CD03002
L,HA,CD03003
SH,HA,CD03004
H,DE,CD03005
L,RE,CD03006
VL,HA,CD03007
SH,DE,CD03008
M,DE,CD03009
M,RE,CD03010
SH,DE,CD03011
SH,DE,CD03012
H,RE,CD03013
H,RE,CD03014
M,HA,CD03015
L,DE,CD03016
L,DE,CD03017
H,RE,CD03018
SH,DE,CD03019
SH,HA,CD03020
L,HA,CD03021
M,DE,CD03022
SH,DE,CD03023
L,RE,CD03024
SH,HA,CD03025
SH,DE,CD03026
VL,DE,CD03027
L,HA,CD03028
VL,HA,CD03029
M,HA,CD03030
L,HA,CD03031
L,DE,CD03032
VL,DE,CD03033
M,HA,CD03034
SH,RE,CD03035
M,RE,CD03036
H,RE,CD03037
SH,HA,CD03038
M,DE,CD03039
M,DE,CD03040
H,DE,CD03041
L,DE,CD03042
H,RE,CD03043
L,DE,CD03044
H,RE,CD03045
SH,DE,CD03046
VL,DE,CD03047
M,RE,CD03048
VL,RE,CD03049
M,HA,CD03050
M,HA,CD03051
H,HA,CD03052
L,HA,CD03053
M,RE,CD03054
M,DE,CD03055
SH,HA,CD03056
M,RE,CD03057
VL,RE,CD03058
SH,RE,CD03059
L,DE,CD03060
L,HA,CD03061
VL,RE,CD03062
SH,RE,CD03063
L,HA,CD03064
SH,RE,CD03065
M,DE,CD03066
VL,HA,CD03067
L,HA,CD03068
SH,HA,CD03069
M,RE,CD03070
H,RE,CD03071
L,DE,CD03072
M,RE,CD03073
M,DE,CD03074
SH,RE,CD03075
H,DE,CD03076
H,DE,CD03077
SH,HA,CD03078
VL,DE,CD03079
H,DE,CD03080
SH,RE,CD03081
H,DE,CD03082
VL,RE,CD03083
H,HA,CD03084
H,HA,CD03085
H,RE,CD03086
H,RE,CD03087
SH,HA,CD03088
M,DE,CD03089
H,RE,CD03090
M,HA,CD03091
L,RE,CD03092
VL,RE,CD03093
L,DE,CD03094
M,HA,CD03095
SH,HA,CD03096
H,DE,CD03097
SH,DE,CD03098
SH,DE,CD03099
L,HA,CD03100
H,HA,CD03101
L,HA,CD03102
H,DE,CD03103
M,DE,CD03104
SH,DE,CD03105
SH,RE,CD03106
M,RE,CD03107
M,RE,CD03108
M,DE,CD03109
M,HA,CD03110
VL,HA,CD03111
L,RE,CD03112
SH,HA,CD03113
L,RE,CD03114
SH,RE,CD03115
M,RE,CD03116
M,RE,CD03117
H,RE,CD03118
M,RE,CD03119
SH,HA,CD03120
L,DE,CD03121
H,RE,CD03122
L,DE,CD03123
SH,HA,CD03124
VL,RE,CD03125
M,RE,CD03126
SH,DE,CD03127
L,RE,CD03128
L,RE,CD03129
VL,DE,CD03130
SH,RE,CD03131
H,HA,CD03132
L,HA,CD03133
SH,HA,CD03134
H,RE,CD03135
L,HA,CD03136
H,RE,CD03137
SH,HA,CD03138
SH,HA,CD03139
L,RE,CD03140
VL,DE,CD03141
L,HA,CD03142
H,RE,CD03143
H,RE,CD03144
M,DE,CD03145
SH,HA,CD03146
M,HA,CD03147
L,DE,CD03148
H,DE,CD03149
VL,RE,CD03150
SH,HA,CD03151
M,DE,CD03152
L,HA,CD03153
SH,DE,CD03154
M,DE,CD03155
M,DE,CD03156
M,RE,CD03157
M,DE,CD03158
VL,HA,CD03159
M,HA,CD03160
SH,DE,CD03161
VL,HA,CD03162
H,HA,CD03163
L,RE,CD03164
L,HA,CD03165
H,DE,CD03166
M,DE,CD03167
VL,HA,CD03168
M,DE,CD03169
L,DE,CD03170
H,RE,CD03171
H,DE,CD03172
SH,HA,CD03173
M,DE,CD03174
VL,RE,CD03175
M,DE,CD03176
M,RE,CD03177
VL,RE,CD03178
L,RE,CD03179
SH,HA,CD03180
H,DE,CD03181
L,RE,CD03182
SH,HA,CD03183
SH,HA,CD03184
SH,HA,CD03185
L,DE,CD03186
VL,DE,CD03187
M,DE,CD03188
M,HA,CD03189
H,HA,CD03190
SH,HA,CD03191
SH,HA,CD03192
H,HA,CD03193
VL,DE,CD03194
L,HA,CD03195
SH,DE,CD03196
M,HA,CD03197
VL,RE,CD03198
SH,RE,CD03199
VL,RE,CD03200
M,HA,CD03201
L,HA,CD03202
VL,DE,CD03203
M,RE,CD03204
L,DE,CD03205
VL,RE,CD03206
M,HA,CD03207
H,HA,CD03208
H,DE,CD03209
L,HA,CD03210
M,RE,CD03211
VL,RE,CD03212
VL,RE,CD03213
M,DE,CD03214
L,RE,CD03215
H,RE,CD03216
L,RE,CD03217
SH,HA,CD03218
SH,DE,CD03219
VL,HA,CD03220
VL,DE,CD03221
SH,HA,CD03222
M,RE,CD03223
H,RE,CD03224
VL,HA,CD03225
H,RE,CD03226
M,HA,CD03227
H,HA,CD03228
SH,DE,CD03229
L,DE,CD03230
SH,HA,CD03231
M,RE,CD03232
L,DE,CD03233
VL,RE,CD03234
M,HA,CD03235
M,HA,CD03236
VL,DE,CD03237
SH,DE,CD03238
H,HA,CD03239
SH,RE,CD03240
VL,HA,CD03241
L,RE,CD03242
L,DE,CD03243
L,HA,CD03244
H,HA,CD03245
VL,HA,CD03246
SH,HA,CD03247
L,DE,CD03248
H,DE,CD03249
SH,RE,CD03250
SH,HA,CD03251
SH,HA,CD03252
VL,HA,CD03253
H,RE,CD03254
VL,HA,CD03255
SH,DE,CD03256
VL,DE,CD03257
SH,DE,CD03258
SH,DE,CD03259
H,HA,CD03260
M,HA,CD03261
VL,RE,CD03262
SH,RE,CD03263
L,DE,CD03264
SH,RE,CD03265
M,HA,CD03266
SH,DE,CD03267
VL,RE,CD03268
L,RE,CD03269
H,DE,CD03270
M,DE,CD03271
L,RE,CD03272
M,RE,CD03273
L,HA,CD03274
M,RE,CD03275
M,DE,CD03276
M,RE,CD03277
L,DE,CD03278
M,RE,CD03279
H,HA,CD03280
M,HA,CD03281
SH,DE,CD03282
H,RE,CD03283
M,DE,CD03284
H,DE,CD03285
L,HA,CD03286
VL,RE,CD03287
H,RE,CD03288
L,RE,CD03289
SH,HA,CD03290
M,HA,CD03291
VL,HA,CD03292
SH,HA,CD03293
M,DE,CD03294
SH,RE,CD03295
H,RE,CD03296
VL,RE,CD03297
SH,DE,CD03298
SH,DE,CD03299
M,HA,CD03300
L,HA,CD03301
L,DE,CD03302
H,HA,CD03303
L,HA,CD03304
H,RE,CD03305
M,HA,CD03306
M,HA,CD03307
H,RE,CD03308
VL,RE,CD03309
H,RE,CD03310
H,DE,CD03311
VL,DE,CD03312
M,HA,CD03313
M,RE,CD03314
M,RE,CD03315
L,RE,CD03316
H,RE,CD03317
VL,HA,CD03318
M,DE,CD03319
L,RE,CD03320
SH,DE,CD03321
SH,RE,CD03322
H,HA,CD03323
L,HA,CD03324
M,DE,CD03325
H,HA,CD03326
SH,DE,CD03327
M,HA,CD03328
H,HA,CD03329
M,HA,CD03330
L,DE,CD03331
M,RE,CD03332
L,HA,CD03333
L,DE,CD03334
VL,HA,CD03335
VL,DE,CD03336
SH,DE,CD03337
SH,DE,CD03338
VL,RE,CD03339
VL,DE,CD03340
M,RE,CD03341
L,RE,CD03342
SH,RE,CD03343
H,RE,CD03344
M,RE,CD03345
H,RE,CD03346
M,RE,CD03347
L,DE,CD03348
SH,HA,CD03349
SH,HA,CD03350
SH,DE,CD03351
L,RE,CD03352
L,DE,CD03353
M,RE,CD03354
VL,HA,CD03355
L,RE,CD03356
VL,HA,CD03357
M,DE,CD03358
L,HA,CD03359
H,RE,CD03360
SH,RE,CD03361
L,RE,CD03362
VL,DE,CD03363
H,RE,CD03364
H,DE,CD03365
H,DE,CD03366
M,DE,CD03367
SH,RE,CD03368
M,DE,CD03369
H,RE,CD03370
VL,HA,CD03371
SH,DE,CD03372
SH,RE,CD03373
M,DE,CD03374
H,HA,CD03375
VL,DE,CD03376
H,DE,CD03377
SH,RE,CD03378
M,RE,CD03379
L,RE,CD03380
H,RE,CD03381
SH,RE,CD03382
L,RE,CD03383
VL,HA,CD03384
L,HA,CD03385
L,RE,CD03386
VL,DE,CD03387
H,RE,CD03388
H,HA,CD03389
M,HA,CD03390
M,HA,CD03391
H,DE,CD03392
M,RE,CD03393
L,HA,CD03394
M,HA,CD03395
L,DE,CD03396
H,RE,CD03397
VL,RE,CD03398
SH,RE,CD03399
H,DE,CD03400
VL,DE,CD03401
VL,RE,CD03402
SH,HA,CD03403
H,RE,CD03404
H,DE,CD03405
H,HA,CD03406
SH,HA,CD03407
M,DE,CD03408
VL,HA,CD03409
M,RE,CD03410
M,DE,CD03411
H,DE,CD03412
SH,RE,CD03413
H,DE,CD03414
SH,RE,CD03415
SH,DE,CD03416
M,DE,CD03417
L,HA,CD03418
L,DE,CD03419
H,HA,CD03420
M,DE,CD03421
H,DE,CD03422
VL,RE,CD03423
SH,DE,CD03424
L,DE,CD03425
H,DE,CD03426
L,DE,CD03427
VL,HA,CD03428
SH,RE,CD03429
VL,RE,CD03430
H,HA,CD03431
L,RE,CD03432
VL,HA,CD03433
VL,HA,CD03434
H,DE,CD03435
M,RE,CD03436
L,DE,CD03437
VL,HA,CD03438
L,RE,CD03439
VL,HA,CD03440
H,DE,CD03441
L,RE,CD03442
H,HA,CD03443
VL,HA,CD03444
L,RE,CD03445
H,RE,CD03446
M,DE,CD03447
L,HA,CD03448
L,HA,CD03449
SH,DE,CD03450
VL,HA,CD03451
SH,HA,CD03452
M,RE,CD03453
SH,HA,CD03454
H,DE,CD03455
L,HA,CD03456
L,DE,CD03457
SH,DE,CD03458
M,HA,CD03459
M,DE,CD03460
H,HA,CD03461
H,RE,CD03462
H,DE,CD03463
L,DE,CD03464
L,DE,CD03465
M,DE,CD03466
H,DE,CD03467
M,HA,CD03468
H,RE,CD03469
SH,RE,CD03470
L,HA,CD03471
M,DE,CD03472
VL,DE,CD03473
L,DE,CD03474
M,DE,CD03475
VL,HA,CD03476
L,HA,CD03477
VL,DE,CD03478
SH,DE,CD03479
VL,RE,CD03480
L,RE,CD03481
SH,RE,CD03482
M,HA,CD03483
SH,RE,CD03484
VL,DE,CD03485
L,HA,CD03486
M,HA,CD03487
H,HA,CD03488
L,RE,CD03489
L,RE,CD03490
VL,RE,CD03491
L,DE,CD03492
SH,RE,CD03493
VL,HA,CD03494
VL,DE,CD03495
L,HA,CD03496
H,RE,CD03497
VL,HA,CD03498
SH,HA,CD03499
L,HA,CD03500
H,HA,CD03501
SH,DE,CD03502
SH,HA,CD03503
M,DE,CD03504
SH,RE,CD03505
H,RE,CD03506
SH,HA,CD03507
M,RE,CD03508
SH,RE,CD03509
M,HA,CD03510
VL,DE,CD03511
M,HA,CD03512
VL,RE,CD03513
M,DE,CD03514
SH,RE,CD03515
L,HA,CD03516
M,DE,CD03517
L,RE,CD03518
VL,RE,CD03519
M,HA,CD03520
SH,DE,CD03521
VL,HA,CD03522
L,RE,CD03523
L,DE,CD03524
M,RE,CD03525
M,HA,CD03526
VL,DE,CD03527
SH,DE,CD03528
H,RE,CD03529
SH,DE,CD03530
L,DE,CD03531
M,RE,CD03532
SH,RE,CD03533
M,HA,CD03534
SH,HA,CD03535
H,RE,CD03536
H,DE,CD03537
VL,HA,CD03538
M,RE,CD03539
M,RE,CD03540
VL,RE,CD03541
VL,DE,CD03542
VL,DE,CD03543
VL,HA,CD03544
H,HA,CD03545
M,DE,CD03546
H,HA,CD03547
L,HA,CD03548
M,RE,CD03549
L,HA,CD03550
L,DE,CD03551
H,HA,CD03552
SH,HA,CD03553
VL,HA,CD03554
H,DE,CD03555
H,DE,CD03556
SH,RE,CD03557
SH,DE,CD03558
M,RE,CD03559
L,HA,CD03560
M,RE,CD03561
VL,DE,CD03562
VL,DE,CD03563
VL,RE,CD03564
M,HA,CD03565
H,HA,CD03566
SH,RE,CD03567
SH,DE,CD03568
H,DE,CD03569
VL,RE,CD03570
L,RE,CD03571
L,RE,CD03572
H,HA,CD03573
SH,HA,CD03574
H,DE,CD03575
L,DE,CD03576
L,HA,CD03577
SH,DE,CD03578
H,DE,CD03579
L,HA,CD03580
SH,RE,CD03581
VL,RE,CD03582
VL,DE,CD03583
M,RE,CD03584
SH,HA,CD03585
M,DE,CD03586
SH,DE,CD03587
L,RE,CD03588
M,HA,CD03589
VL,HA,CD03590
VL,DE,CD03591
VL,RE,CD03592
H,RE,CD03593
L,RE,CD03594
VL,DE,CD03595
L,HA,CD03596
L,DE,CD03597
L,RE,CD03598
H,RE,CD03599
L,DE,CD03600
H,RE,CD03601
M,RE,CD03602
L,RE,CD03603
M,DE,CD03604
VL,HA,CD03605
SH,HA,CD03606
H,RE,CD03607
M,HA,CD03608
VL,RE,CD03609
L,DE,CD03610
L,DE,CD03611
H,DE,CD03612
H,RE,CD03613
SH,DE,CD03614
SH,HA,CD03615
L,HA,CD03616
VL,HA,CD03617
SH,RE,CD03618
SH,RE,CD03619
M,HA,CD03620
L,DE,CD03621
VL,HA,CD03622
L,DE,CD03623
M,RE,CD03624
VL,RE,CD03625
SH,RE,CD03626
VL,HA,CD03627
VL,DE,CD03628
M,DE,CD03629
VL,DE,CD03630
VL,HA,CD03631
L,HA,CD03632
VL,DE,CD03633
M,HA,CD03634
L,HA,CD03635
H,HA,CD03636
SH,DE,CD03637
SH,DE,CD03638
H,RE,CD03639
VL,DE,CD03640
L,RE,CD03641
M,HA,CD03642
L,RE,CD03643
L,HA,CD03644
M,RE,CD03645
H,RE,CD03646
M,RE,CD03647
H,DE,CD03648
H,RE,CD03649
SH,DE,CD03650
L,HA,CD03651
L,HA,CD03652
M,DE,CD03653
H,DE,CD03654
M,DE,CD03655
L,DE,CD03656
VL,HA,CD03657
H,DE,CD03658
SH,DE,CD03659
SH,RE,CD03660
M,HA,CD03661
H,DE,CD03662
M,HA,CD03663
SH,HA,CD03664
M,HA,CD03665
M,DE,CD03666
M,DE,CD03667
H,DE,CD03668
VL,DE,CD03669
L,RE,CD03670
SH,HA,CD03671
M,DE,CD03672
H,HA,CD03673
H,DE,CD03674
SH,HA,CD03675
VL,RE,CD03676
SH,DE,CD03677
VL,RE,CD03678
L,HA,CD03679
L,RE,CD03680
VL,HA,CD03681
VL,RE,CD03682
SH,HA,CD03683
H,DE,CD03684
M,HA,CD03685
VL,HA,CD03686
VL,RE,CD03687
H,DE,CD03688
M,HA,CD03689
M,HA,CD03690
H,RE,CD03691
SH,HA,CD03692
H,RE,CD03693
M,DE,CD03694
M,HA,CD03695
M,HA,CD03696
M,HA,CD03697
VL,HA,CD03698
L,DE,CD03699
SH,DE,CD03700
M,RE,CD03701
H,HA,CD03702
SH,DE,CD03703
H,RE,CD03704
VL,RE,CD03705
H,DE,CD03706
SH,HA,CD03707
SH,HA,CD03708
VL,HA,CD03709
SH,RE,CD03710
L,RE,CD03711
SH,DE,CD03712
SH,HA,CD03713
H,DE,CD03714
L,HA,CD03715
M,RE,CD03716
M,DE,CD03717
L,HA,CD03718
SH,RE,CD03719
M,HA,CD03720
VL,DE,CD03721
L,RE,CD03722
H,DE,CD03723
M,DE,CD03724
H,RE,CD03725
L,HA,CD03726
VL,HA,CD03727
L,HA,CD03728
L,DE,CD03729
VL,DE,CD03730
M,HA,CD03731
L,DE,CD03732
H,DE,CD03733
VL,DE,CD03734
VL,RE,CD03735
VL,HA,CD03736
VL,RE,CD03737
L,HA,CD03738
H,HA,CD03739
H,HA,CD03740
H,RE,CD03741
SH,RE,CD03742
SH,DE,CD03743
L,HA,CD03744
VL,DE,CD03745
M,DE,CD03746
L,HA,CD03747
SH,RE,CD03748
VL,HA,CD03749
VL,DE,CD03750
H,HA,CD03751
SH,RE,CD03752
L,HA,CD03753
SH,RE,CD03754
L,DE,CD03755
H,DE,CD03756
M,RE,CD03757
VL,HA,CD03758
M,HA,CD03759
SH,DE,CD03760
L,DE,CD03761
H,HA,CD03762
VL,RE,CD03763
SH,RE,CD03764
M,RE,CD03765
H,RE,CD03766
VL,HA,CD03767
VL,HA,CD03768
H,HA,CD03769
L,RE,CD03770
SH,RE,CD03771
H,HA,CD03772
M,RE,CD03773
H,HA,CD03774
H,RE,CD03775
SH,HA,CD03776
M,RE,CD03777
VL,RE,CD03778
H,RE,CD03779
VL,RE,CD03780
H,HA,CD03781
VL,HA,CD03782
L,RE,CD03783
VL,HA,CD03784
H,DE,CD03785
M,DE,CD03786
VL,HA,CD03787
SH,RE,CD03788
L,DE,CD03789
VL,DE,CD03790
H,DE,CD03791
SH,HA,CD03792
SH,HA,CD03793
L,DE,CD03794
L,DE,CD03795
H,RE,CD03796
SH,DE,CD03797
L,RE,CD03798
M,HA,CD03799
VL,RE,CD03800
SH,DE,CD03801
VL,RE,CD03802
VL,RE,CD03803
M,DE,CD03804
VL,HA,CD03805
VL,HA,CD03806
L,RE,CD03807
M,DE,CD03808
L,DE,CD03809
L,HA,CD03810
VL,RE,CD03811
SH,RE,CD03812
L,HA,CD03813
SH,DE,CD03814
VL,HA,CD03815
H,RE,CD03816
H,RE,CD03817
H,HA,CD03818
L,DE,CD03819
L,DE,CD03820
SH,DE,CD03821
H,HA,CD03822
SH,DE,CD03823
L,RE,CD03824
L,HA,CD03825
H,DE,CD03826
H,DE,CD03827
VL,RE,CD03828
SH,DE,CD03829
VL,DE,CD03830
L,HA,CD03831
L,RE,CD03832
SH,RE,CD03833
L,HA,CD03834
SH,DE,CD03835
H,DE,CD03836
VL,RE,CD03837
H,RE,CD03838
L,DE,CD03839
VL,RE,CD03840
M,RE,CD03841
VL,RE,CD03842
H,RE,CD03843
L,RE,CD03844
M,DE,CD03845
L,RE,CD03846
M,DE,CD03847
H,HA,CD03848
SH,RE,CD03849
VL,RE,CD03850
SH,RE,CD03851
VL,HA,CD03852
L,RE,CD03853
VL,DE,CD03854
H,RE,CD03855
L,DE,CD03856
M,HA,CD03857
H,DE,CD03858
M,HA,CD03859
M,HA,CD03860
H,HA,CD03861
VL,HA,CD03862
H,HA,CD03863
L,RE,CD03864
H,HA,CD03865
VL,HA,CD03866
VL,DE,CD03867
SH,RE,CD03868
H,RE,CD03869
L,RE,CD03870
H,RE,CD03871
SH,DE,CD03872
L,HA,CD03873
VL,DE,CD03874
SH,DE,CD03875
VL,HA,CD03876
SH,RE,CD03877
VL,DE,CD03878
M,RE,CD03879
L,HA,CD03880
H,RE,CD03881
H,HA,CD03882
H,RE,CD03883
VL,DE,CD03884
SH,DE,CD03885
M,RE,CD03886
L,RE,CD03887
M,RE,CD03888
H,RE,CD03889
M,HA,CD03890
M,RE,CD03891
L,DE,CD03892
M,RE,CD03893
L,HA,CD03894
VL,HA,CD03895
M,DE,CD03896
L,DE,CD03897
VL,DE,CD03898
M,DE,CD03899
M,DE,CD03900
M,RE,CD03901
M,DE,CD03902
M,HA,CD03903
VL,HA,CD03904
H,DE,CD03905
L,RE,CD03906
L,HA,CD03907
VL,RE,CD03908
M,HA,CD03909
SH,DE,CD03910
SH,RE,CD03911
L,HA,CD03912
H,RE,CD03913
VL,DE,CD03914
H,RE,CD03915
SH,HA,CD03916
SH,DE,CD03917
VL,HA,CD03918
L,DE,CD03919
VL,DE,CD03920
VL,RE,CD03921
H,RE,CD03922
SH,RE,CD03923
SH,RE,CD03924
L,HA,CD03925
H,DE,CD03926
SH,DE,CD03927
SH,DE,CD03928
VL,HA,CD03929
L,RE,CD03930
L,DE,CD03931
VL,DE,CD03932
SH,DE,CD03933
SH,RE,CD03934
VL,HA,CD03935
M,RE,CD03936
SH,HA,CD03937
SH,HA,CD03938
L,DE,CD03939
M,HA,CD03940
M,HA,CD03941
VL,DE,CD03942
H,RE,CD03943
M,HA,CD03944
SH,HA,CD03945
H,RE,CD03946
H,DE,CD03947
H,DE,CD03948
L,RE,CD03949
M,HA,CD03950
SH,RE,CD03951
SH,HA,CD03952
H,HA,CD03953
L,RE,CD03954
L,RE,CD03955
L,RE,CD03956
H,HA,CD03957
SH,DE,CD03958
L,RE,CD03959
L,DE,CD03960
L,DE,CD03961
VL,HA,CD03962
VL,DE,CD03963
H,RE,CD03964
VL,RE,CD03965
L,HA,CD03966
SH,RE,CD03967
M,RE,CD03968
L,DE,CD03969
L,RE,CD03970
L,RE,CD03971
VL,RE,CD03972
M,DE,CD03973
SH,RE,CD03974
H,DE,CD03975
VL,DE,CD03976
H,DE,CD03977
M,DE,CD03978
VL,DE,CD03979
H,HA,CD03980
M,DE,CD03981
M,DE,CD03982
SH,HA,CD03983
M,HA,CD03984
VL,DE,CD03985
H,DE,CD03986
H,HA,CD03987
VL,RE,CD03988
L,RE,CD03989
M,HA,CD03990
VL,HA,CD03991
M,DE,CD03992
L,DE,CD03993
H,HA,CD03994
L,DE,CD03995
SH,RE,CD03996
H,RE,CD03997
SH,HA,CD03998
SH,RE,CD03999
L,HA,CD04000
H,DE,CD04001
L,HA,CD04002
VL,DE,CD04003
SH,DE,CD04004
SH,HA,CD04005
VL,DE,CD04006
VL,RE,CD04007
H,HA,CD04008
L,HA,CD04009
VL,DE,CD04010
H,DE,CD04011
SH,HA,CD04012
L,DE,CD04013
M,HA,CD04014
M,HA,CD04015
M,HA,CD04016
VL,HA,CD04017
SH,RE,CD04018
M,RE,CD04019
L,DE,CD04020
SH,DE,CD04021
L,RE,CD04022
M,DE,CD04023
VL,HA,CD04024
H,HA,CD04025
L,RE,CD04026
H,HA,CD04027
L,DE,CD04028
M,RE,CD04029
SH,RE,CD04030
L,DE,CD04031
