Power Outage (min),Power Downtime (min),Temperature (C),Current Load (kW),Usage Stats,region_stats,date
43056,89,37,11,13,West,2023-08-25 00:00:00
32957,115,16,22,18,North,2023-04-21 00:00:00
41118,92,18,22,14,West,2021-11-12 00:00:00
24733,106,40,11,14,East,2024-08-09 00:00:00
22092,22,38,22,21,South,2022-07-10 00:00:00
27077,34,27,22,13,South,2024-11-30 00:00:00
17011,114,28,11,18,West,2020-11-24 00:00:00
19171,20,34,22,21,South,2023-05-05 00:00:00
41805,20,31,22,20,East,2020-09-01 00:00:00
38097,120,25,22,19,West,2023-01-05 00:00:00
43527,15,29,22,12,North,2022-11-16 00:00:00
27745,92,32,11,15,South,2022-07-04 00:00:00
38463,66,22,11,16,East,2022-11-30 00:00:00
36228,40,24,11,21,West,2023-08-22 00:00:00
19768,90,15,22,16,East,2023-10-28 00:00:00
38369,97,39,22,12,North,2020-05-01 00:00:00
16955,74,31,22,12,North,2024-04-08 00:00:00
19324,98,42,22,22,East,2020-11-11 00:00:00
38321,82,39,22,21,East,2023-06-18 00:00:00
22522,101,23,22,21,North,2022-06-19 00:00:00
40679,117,15,11,18,North,2024-03-24 00:00:00
40518,105,37,22,15,South,2023-02-07 00:00:00
25382,62,44,22,19,North,2021-03-18 00:00:00
25565,63,35,22,14,West,2023-07-28 00:00:00
30772,7,31,11,14,South,2020-07-29 00:00:00
23532,93,44,11,11,North,2023-12-26 00:00:00
40812,33,16,11,20,North,2020-09-14 00:00:00
37865,97,31,11,11,West,2024-03-04 00:00:00
41898,38,26,22,19,West,2024-01-28 00:00:00
21189,12,16,22,16,West,2021-06-22 00:00:00
26773,24,22,11,21,East,2021-04-08 00:00:00
19593,103,40,11,12,East,2021-11-02 00:00:00
33477,90,25,11,17,North,2023-06-07 00:00:00
41649,53,18,22,15,West,2020-07-22 00:00:00
29258,81,24,11,20,South,2020-09-23 00:00:00
19027,16,30,22,12,East,2023-04-20 00:00:00
28630,52,39,11,20,South,2020-01-03 00:00:00
19687,44,28,22,12,South,2024-08-05 00:00:00
43965,84,32,11,14,East,2024-07-04 00:00:00
23581,63,32,22,20,North,2022-07-05 00:00:00
30221,36,23,11,20,South,2024-12-21 00:00:00
38349,106,42,22,14,North,2020-05-23 00:00:00
41592,37,29,11,18,South,2023-10-26 00:00:00
20092,17,41,22,15,South,2022-12-18 00:00:00
31478,12,37,11,18,South,2022-09-04 00:00:00
30654,114,16,11,19,South,2024-08-17 00:00:00
39333,110,28,22,11,East,2023-02-05 00:00:00
15023,33,25,22,21,West,2023-06-10 00:00:00
22951,14,16,22,11,North,2022-04-23 00:00:00
40033,33,43,22,22,West,2022-09-29 00:00:00
28450,35,24,11,15,West,2023-07-31 00:00:00
35344,5,18,22,18,East,2023-06-12 00:00:00
23992,8,39,22,15,East,2022-07-04 00:00:00
31520,62,15,11,11,West,2024-08-22 00:00:00
38617,110,25,22,13,East,2022-03-12 00:00:00
29074,22,34,22,17,East,2024-07-03 00:00:00
34904,107,25,11,19,South,2021-04-10 00:00:00
30868,80,17,11,12,East,2023-04-20 00:00:00
26926,113,43,11,17,South,2022-05-26 00:00:00
27956,74,40,22,20,East,2024-08-11 00:00:00
28671,60,38,11,16,North,2024-09-30 00:00:00
31542,101,28,22,22,East,2021-06-19 00:00:00
15263,77,38,11,21,South,2020-03-07 00:00:00
37354,103,24,22,22,South,2022-07-26 00:00:00
34981,97,25,22,15,East,2023-05-20 00:00:00
28008,84,18,22,19,South,2022-09-17 00:00:00
41807,15,34,11,17,North,2023-04-11 00:00:00
35058,63,22,22,15,West,2020-06-21 00:00:00
32748,23,30,22,21,South,2022-11-14 00:00:00
15252,85,21,11,20,South,2023-11-08 00:00:00
23847,21,45,11,18,East,2023-09-29 00:00:00
22069,66,20,11,20,South,2023-06-24 00:00:00
22750,14,20,22,20,North,2021-07-28 00:00:00
36369,33,45,11,14,West,2023-04-05 00:00:00
16205,115,27,11,11,East,2023-08-29 00:00:00
17541,61,19,22,18,West,2022-06-19 00:00:00
16585,83,36,11,14,South,2020-11-21 00:00:00
40408,8,27,11,15,East,2021-07-17 00:00:00
15077,48,28,22,16,East,2024-06-27 00:00:00
19948,24,36,22,14,North,2022-04-18 00:00:00
22726,99,40,11,22,West,2023-05-13 00:00:00
19759,37,21,22,16,North,2022-02-04 00:00:00
21513,32,21,22,15,South,2024-03-19 00:00:00
43870,19,33,11,21,East,2021-06-17 00:00:00
38735,52,28,22,20,South,2021-11-03 00:00:00
35506,45,34,22,17,South,2024-09-08 00:00:00
37819,45,33,11,12,South,2022-01-13 00:00:00
41852,103,33,11,20,East,2023-11-03 00:00:00
38565,67,42,11,18,East,2021-04-15 00:00:00
35630,41,33,22,17,North,2022-05-04 00:00:00
26732,69,36,22,12,South,2023-11-21 00:00:00
29855,56,28,22,11,East,2022-11-20 00:00:00
28933,100,24,11,14,South,2022-03-16 00:00:00
37715,69,31,11,11,South,2022-06-14 00:00:00
16931,18,37,11,17,North,2023-10-05 00:00:00
40040,91,29,11,12,South,2020-05-28 00:00:00
27428,30,16,22,13,East,2024-08-25 00:00:00
26689,53,22,11,15,North,2022-11-11 00:00:00
19597,54,44,11,11,South,2022-02-27 00:00:00
41432,15,27,22,18,East,2023-11-03 00:00:00
17130,72,18,22,13,South,2020-03-10 00:00:00
22559,94,15,11,20,South,2020-05-30 00:00:00
38696,26,26,11,21,South,2020-06-17 00:00:00
27826,85,31,22,21,North,2021-03-16 00:00:00
41075,114,44,11,13,East,2021-04-07 00:00:00
40286,55,37,22,17,South,2021-01-07 00:00:00
38711,63,20,11,19,South,2024-05-12 00:00:00
19882,14,30,11,22,North,2022-09-03 00:00:00
15720,64,43,22,16,East,2020-12-26 00:00:00
20838,82,29,11,16,North,2024-10-07 00:00:00
20201,91,44,22,14,East,2020-08-25 00:00:00
25680,107,18,11,17,West,2022-07-09 00:00:00
24471,87,35,22,22,West,2024-02-28 00:00:00
44125,63,45,11,19,East,2023-02-11 00:00:00
32834,20,36,11,16,North,2024-04-02 00:00:00
27641,99,45,22,20,North,2023-06-06 00:00:00
38658,79,32,11,12,East,2023-05-26 00:00:00
39230,35,32,22,12,West,2021-10-21 00:00:00
17700,64,24,11,20,South,2020-11-17 00:00:00
17846,41,37,11,13,West,2021-08-11 00:00:00
39996,90,39,11,13,East,2024-11-19 00:00:00
17088,41,31,11,17,West,2024-01-22 00:00:00
35218,28,29,22,14,South,2022-01-08 00:00:00
21505,93,22,22,15,South,2021-03-26 00:00:00
30860,64,31,11,12,East,2023-02-23 00:00:00
25101,120,34,22,16,East,2023-10-30 00:00:00
43592,43,34,11,17,West,2022-03-01 00:00:00
30303,103,34,22,16,West,2023-07-15 00:00:00
19466,61,36,22,12,East,2020-11-29 00:00:00
25346,106,32,11,19,East,2023-08-31 00:00:00
26532,55,40,11,20,South,2023-03-09 00:00:00
17222,62,33,22,17,East,2021-12-13 00:00:00
28586,29,33,22,16,North,2024-01-05 00:00:00
35622,77,17,11,19,East,2021-03-22 00:00:00
30144,61,20,22,15,South,2022-06-06 00:00:00
20167,88,19,22,20,West,2023-03-24 00:00:00
22901,8,40,22,13,East,2022-12-15 00:00:00
16188,13,44,22,14,West,2023-08-25 00:00:00
43839,115,15,22,22,East,2024-11-20 00:00:00
37170,118,32,22,20,West,2021-11-02 00:00:00
15441,118,16,22,21,West,2022-08-01 00:00:00
35328,39,34,22,20,West,2023-10-11 00:00:00
25313,105,39,11,18,West,2020-03-05 00:00:00
18569,79,20,22,17,West,2022-03-29 00:00:00
37666,44,45,22,11,West,2024-03-30 00:00:00
31504,82,28,22,20,South,2021-02-24 00:00:00
44352,115,20,11,20,South,2021-02-02 00:00:00
38521,47,37,11,13,East,2021-01-27 00:00:00
17231,106,19,22,22,West,2023-02-04 00:00:00
15266,52,37,22,20,West,2023-06-26 00:00:00
17614,21,26,11,20,North,2023-11-22 00:00:00
22214,73,24,22,19,West,2021-09-07 00:00:00
15376,64,20,11,16,East,2024-11-09 00:00:00
42898,106,19,11,19,North,2022-06-15 00:00:00
24975,14,35,11,17,West,2022-03-02 00:00:00
28785,69,31,11,20,South,2020-05-09 00:00:00
26275,108,20,11,19,South,2021-10-16 00:00:00
20755,113,36,22,19,North,2023-05-09 00:00:00
29408,41,42,22,19,North,2020-04-02 00:00:00
17883,46,41,11,19,East,2024-10-30 00:00:00
28297,68,23,22,19,West,2024-11-08 00:00:00
29666,104,23,22,21,North,2024-05-24 00:00:00
22395,51,30,11,19,West,2024-02-18 00:00:00
22428,54,34,22,12,West,2024-09-24 00:00:00
33030,17,17,11,15,East,2020-03-05 00:00:00
36554,100,33,11,16,West,2023-04-06 00:00:00
28429,12,38,22,19,West,2020-05-23 00:00:00
20753,89,21,22,20,West,2020-01-09 00:00:00
24310,5,18,22,12,North,2023-02-09 00:00:00
32792,36,22,22,13,North,2023-11-17 00:00:00
24899,110,37,22,18,West,2020-02-13 00:00:00
35418,49,23,11,19,West,2020-08-24 00:00:00
22767,107,35,22,12,North,2023-04-09 00:00:00
32824,25,29,11,20,East,2021-03-24 00:00:00
22472,22,20,22,21,East,2020-09-21 00:00:00
43880,67,40,22,15,North,2020-01-02 00:00:00
17548,29,23,11,11,East,2024-08-21 00:00:00
22930,85,25,22,19,West,2021-09-27 00:00:00
15585,119,37,22,13,East,2020-05-09 00:00:00
34381,99,22,11,17,East,2021-04-04 00:00:00
34423,73,20,22,13,North,2020-09-15 00:00:00
44043,45,26,22,15,South,2020-04-18 00:00:00
23119,65,15,11,14,East,2024-07-29 00:00:00
42832,105,28,22,15,West,2023-04-19 00:00:00
37206,86,44,11,22,West,2020-08-21 00:00:00
15703,63,37,22,15,West,2021-07-01 00:00:00
27625,67,25,22,21,North,2020-06-02 00:00:00
37476,51,32,11,22,West,2023-03-08 00:00:00
21243,19,18,11,22,East,2020-02-27 00:00:00
34579,84,39,11,21,North,2022-12-17 00:00:00
25809,75,20,22,18,South,2021-10-07 00:00:00
39217,41,17,22,12,West,2021-11-30 00:00:00
22573,38,28,11,14,North,2023-11-30 00:00:00
24498,30,25,22,17,South,2021-10-18 00:00:00
34177,104,24,22,15,South,2022-12-19 00:00:00
24015,120,36,11,14,East,2020-09-12 00:00:00
15747,113,34,22,17,North,2021-02-18 00:00:00
19321,88,20,22,22,West,2020-08-21 00:00:00
36282,76,24,11,19,North,2020-05-03 00:00:00
24628,89,20,22,16,East,2020-12-01 00:00:00
42846,113,41,22,21,South,2021-11-21 00:00:00
17536,34,44,11,20,North,2023-12-04 00:00:00
34750,111,18,11,13,East,2023-11-11 00:00:00
20792,13,20,11,13,South,2022-10-18 00:00:00
40753,29,17,11,21,North,2020-10-18 00:00:00
44569,63,34,11,15,West,2024-02-01 00:00:00
18927,101,19,11,18,West,2023-07-07 00:00:00
34811,9,26,22,12,North,2024-10-10 00:00:00
29174,48,32,22,19,East,2022-10-14 00:00:00
21527,60,37,22,15,East,2022-03-19 00:00:00
30289,25,30,11,19,North,2024-06-08 00:00:00
42209,92,30,22,17,West,2021-04-22 00:00:00
15741,113,38,22,21,North,2022-12-10 00:00:00
26460,45,40,11,16,South,2020-12-09 00:00:00
22680,74,29,11,18,East,2020-01-04 00:00:00
40945,45,29,11,11,South,2022-12-09 00:00:00
41345,63,37,22,11,East,2022-01-05 00:00:00
25622,102,25,22,20,East,2023-09-18 00:00:00
32722,10,36,11,18,South,2024-07-30 00:00:00
22753,59,21,22,16,West,2021-06-19 00:00:00
16641,115,43,11,22,North,2021-10-17 00:00:00
15739,27,21,11,17,North,2023-09-06 00:00:00
30425,68,40,11,22,East,2023-08-12 00:00:00
29757,47,39,22,19,East,2022-04-23 00:00:00
38550,104,16,11,12,East,2021-11-18 00:00:00
29511,63,25,22,13,North,2023-01-08 00:00:00
22435,96,16,22,17,West,2024-09-24 00:00:00
32369,50,26,22,19,West,2022-10-22 00:00:00
18831,55,44,11,19,East,2020-06-15 00:00:00
29414,56,36,22,14,East,2020-12-06 00:00:00
18167,34,18,11,14,North,2020-12-10 00:00:00
43911,68,33,22,18,West,2023-02-13 00:00:00
41943,90,20,11,17,East,2023-06-12 00:00:00
18283,41,38,22,14,North,2022-09-10 00:00:00
23614,68,22,22,11,North,2020-08-20 00:00:00
23233,52,16,22,11,South,2021-08-04 00:00:00
27028,101,43,22,18,South,2023-12-24 00:00:00
42984,50,38,11,14,West,2021-03-07 00:00:00
18917,27,18,11,17,North,2024-05-16 00:00:00
44547,62,17,11,18,West,2023-03-27 00:00:00
20113,64,21,22,15,South,2020-05-22 00:00:00
42372,98,32,11,20,North,2024-08-18 00:00:00
44863,116,30,22,20,West,2021-11-15 00:00:00
24191,97,29,11,18,West,2024-04-25 00:00:00
38470,53,16,11,20,East,2024-09-05 00:00:00
29809,33,36,22,18,West,2023-10-07 00:00:00
32843,34,43,22,14,South,2020-09-01 00:00:00
27467,113,30,11,21,North,2024-12-11 00:00:00
40258,67,35,11,11,East,2024-12-11 00:00:00
20585,97,16,11,12,North,2023-09-01 00:00:00
33208,86,28,22,16,West,2024-02-10 00:00:00
16877,66,19,22,17,North,2024-12-06 00:00:00
37648,87,15,22,18,North,2024-10-22 00:00:00
19379,24,36,11,19,North,2020-11-17 00:00:00
21674,34,36,11,11,North,2023-05-16 00:00:00
31712,107,21,22,19,North,2023-05-07 00:00:00
30491,113,19,11,16,West,2020-08-26 00:00:00
36148,88,21,11,12,North,2021-03-29 00:00:00
23346,74,36,22,12,West,2022-11-10 00:00:00
30710,18,42,11,19,North,2022-01-23 00:00:00
44692,79,38,11,14,East,2022-03-04 00:00:00
25384,113,31,22,21,West,2023-06-10 00:00:00
22320,113,23,22,14,North,2023-11-01 00:00:00
27776,61,33,11,22,North,2023-08-04 00:00:00
26085,70,38,11,17,West,2022-03-05 00:00:00
22125,17,27,22,11,North,2020-11-04 00:00:00
36823,62,37,11,18,South,2020-06-25 00:00:00
24521,30,21,11,21,West,2020-04-24 00:00:00
34353,39,30,22,18,North,2023-01-01 00:00:00
26549,71,45,22,13,West,2023-07-28 00:00:00
44353,76,28,11,20,West,2022-11-20 00:00:00
19911,119,17,11,22,North,2020-06-08 00:00:00
43831,76,30,11,17,North,2022-11-24 00:00:00
18818,102,41,22,14,East,2024-06-23 00:00:00
31893,83,34,22,14,South,2024-10-01 00:00:00
38352,13,20,11,20,West,2022-12-02 00:00:00
25628,102,40,22,17,East,2020-06-27 00:00:00
38648,109,26,11,14,West,2024-01-31 00:00:00
25931,85,27,22,13,South,2021-08-17 00:00:00
33353,8,19,11,12,South,2020-03-17 00:00:00
28573,11,23,22,21,South,2020-07-17 00:00:00
18910,91,15,22,12,North,2024-12-27 00:00:00
19050,59,30,11,16,North,2024-04-25 00:00:00
26786,55,35,22,12,South,2022-11-28 00:00:00
42557,20,20,22,15,South,2023-09-07 00:00:00
19485,93,34,22,15,East,2021-08-16 00:00:00
29474,66,42,11,11,West,2022-03-03 00:00:00
22428,6,42,11,17,West,2021-11-12 00:00:00
25583,12,22,22,12,South,2023-08-17 00:00:00
22698,31,19,22,22,North,2022-11-20 00:00:00
40467,49,15,22,13,North,2023-10-28 00:00:00
34477,71,42,11,17,West,2022-02-10 00:00:00
21747,114,23,11,13,South,2020-07-28 00:00:00
25438,81,35,22,11,South,2021-10-12 00:00:00
20638,60,29,11,22,North,2022-12-03 00:00:00
28836,95,25,22,15,South,2022-07-02 00:00:00
37159,95,31,11,19,West,2024-04-12 00:00:00
23422,81,38,11,16,North,2021-10-22 00:00:00
25076,50,21,22,22,West,2023-02-07 00:00:00
41218,111,37,11,21,West,2020-10-28 00:00:00
17365,14,31,22,14,North,2022-09-21 00:00:00
37062,112,20,11,15,East,2023-12-13 00:00:00
35342,18,35,22,13,South,2020-01-03 00:00:00
31951,8,45,22,12,West,2024-12-16 00:00:00
31409,113,38,11,16,East,2021-03-11 00:00:00
24840,73,15,22,14,South,2021-03-06 00:00:00
39185,72,28,11,19,North,2024-04-29 00:00:00
37409,93,30,22,20,East,2020-10-25 00:00:00
30879,87,38,11,22,North,2020-02-26 00:00:00
24969,98,36,22,11,South,2024-06-24 00:00:00
26317,99,28,11,13,North,2021-12-26 00:00:00
21529,6,26,22,14,East,2021-11-01 00:00:00
21177,39,36,22,22,East,2021-05-22 00:00:00
39006,87,31,11,12,West,2020-11-08 00:00:00
38437,104,19,11,21,West,2020-06-27 00:00:00
22193,35,35,11,22,East,2021-09-18 00:00:00
30609,87,15,22,21,South,2023-05-29 00:00:00
44431,62,19,11,19,North,2024-06-05 00:00:00
21697,52,34,22,21,South,2020-07-06 00:00:00
20346,119,30,11,11,North,2024-04-05 00:00:00
21945,67,32,11,22,East,2020-12-02 00:00:00
26594,27,16,11,18,East,2020-10-21 00:00:00
42619,106,21,11,17,North,2020-04-04 00:00:00
36136,71,37,22,14,West,2024-09-22 00:00:00
20295,53,23,22,11,East,2020-04-26 00:00:00
16583,86,25,11,12,East,2021-09-07 00:00:00
22258,5,16,11,16,West,2021-01-07 00:00:00
43738,84,45,11,14,East,2021-06-05 00:00:00
37528,100,30,11,14,East,2022-12-14 00:00:00
20830,30,33,22,20,East,2023-08-08 00:00:00
28386,36,32,22,18,South,2022-03-24 00:00:00
29748,43,34,11,19,West,2021-01-15 00:00:00
43278,17,28,22,20,West,2024-03-29 00:00:00
16304,78,21,11,11,North,2020-01-23 00:00:00
29612,13,44,11,11,North,2020-09-27 00:00:00
16484,103,22,22,14,North,2020-11-12 00:00:00
28711,19,30,11,15,West,2023-01-23 00:00:00
29194,89,39,11,20,West,2021-09-27 00:00:00
42150,12,18,11,22,South,2022-08-24 00:00:00
16037,65,37,11,17,South,2022-10-19 00:00:00
15036,88,18,22,12,East,2020-03-12 00:00:00
22572,94,42,22,18,East,2024-08-18 00:00:00
35702,67,40,11,14,North,2021-10-18 00:00:00
36959,76,45,22,21,West,2024-12-16 00:00:00
38026,89,35,11,18,North,2021-03-01 00:00:00
24731,74,45,22,11,North,2022-11-25 00:00:00
21825,52,44,11,14,North,2022-08-23 00:00:00
22096,35,19,11,13,North,2023-02-03 00:00:00
35549,55,21,11,15,East,2023-11-27 00:00:00
22086,98,27,11,19,South,2023-04-20 00:00:00
28043,76,44,22,11,North,2023-03-21 00:00:00
23652,77,18,11,19,North,2024-11-19 00:00:00
15700,76,24,11,20,West,2020-02-29 00:00:00
17153,18,39,11,11,East,2023-12-07 00:00:00
38192,84,35,11,11,South,2024-02-26 00:00:00
44710,64,39,22,21,East,2022-12-27 00:00:00
43553,68,22,22,18,East,2023-01-17 00:00:00
17261,90,35,11,20,West,2024-12-15 00:00:00
20594,84,31,11,16,North,2021-07-20 00:00:00
15954,9,43,22,21,North,2021-05-08 00:00:00
15861,120,42,22,22,North,2020-11-26 00:00:00
31622,67,33,11,21,South,2022-08-12 00:00:00
27224,106,19,11,21,South,2024-01-28 00:00:00
16742,20,20,22,22,North,2023-01-25 00:00:00
21423,64,45,11,16,West,2022-12-09 00:00:00
21099,74,20,22,21,South,2023-05-08 00:00:00
43901,14,30,11,11,West,2022-12-23 00:00:00
23879,33,33,22,15,South,2020-09-24 00:00:00
43469,32,24,11,17,South,2023-06-16 00:00:00
15373,116,37,22,12,North,2024-06-02 00:00:00
32773,98,32,22,22,East,2020-07-19 00:00:00
40442,24,21,11,12,North,2022-07-16 00:00:00
29324,39,32,22,17,North,2024-04-29 00:00:00
25252,14,21,11,20,South,2023-01-14 00:00:00
35772,39,17,22,12,North,2024-08-22 00:00:00
20971,28,25,22,21,South,2023-07-09 00:00:00
44565,104,19,22,16,North,2020-12-31 00:00:00
27383,105,28,11,17,North,2024-06-06 00:00:00
27868,77,15,22,16,East,2022-02-14 00:00:00
36705,19,39,11,16,North,2021-09-18 00:00:00
41140,64,26,11,21,West,2024-05-20 00:00:00
21375,92,31,11,13,East,2023-05-25 00:00:00
20701,62,24,22,18,South,2020-06-01 00:00:00
42972,35,28,22,19,North,2023-05-22 00:00:00
38135,43,17,22,16,South,2024-11-14 00:00:00
25634,40,25,11,22,West,2021-08-15 00:00:00
20114,46,35,11,12,North,2020-02-09 00:00:00
24959,58,22,22,12,East,2021-04-11 00:00:00
38605,120,36,11,16,North,2020-02-13 00:00:00
39044,109,20,22,22,South,2024-08-22 00:00:00
23488,6,26,22,13,North,2020-11-28 00:00:00
16631,75,45,11,18,North,2024-10-21 00:00:00
24826,51,43,22,19,North,2023-08-22 00:00:00
44807,42,40,11,14,West,2022-07-19 00:00:00
38289,116,43,11,18,East,2020-04-07 00:00:00
31579,64,27,11,14,North,2024-06-13 00:00:00
40317,81,31,22,18,East,2024-06-24 00:00:00
31301,106,24,11,18,East,2022-06-14 00:00:00
16310,29,35,11,16,East,2023-06-15 00:00:00
34286,30,27,11,19,North,2021-02-22 00:00:00
42735,76,34,11,14,North,2022-01-21 00:00:00
25081,9,15,11,21,West,2023-11-23 00:00:00
43585,114,18,11,14,North,2024-12-05 00:00:00
36731,8,43,22,17,East,2020-12-19 00:00:00
15319,114,32,22,19,North,2021-09-02 00:00:00
27893,22,36,11,16,East,2021-12-03 00:00:00
43030,31,45,11,16,North,2023-04-15 00:00:00
38841,37,30,22,13,East,2023-12-16 00:00:00
38492,65,43,22,17,North,2021-02-15 00:00:00
30722,62,44,22,21,East,2020-10-08 00:00:00
44029,57,29,11,11,East,2020-12-12 00:00:00
29504,46,30,22,14,South,2024-02-28 00:00:00
39843,93,43,22,15,West,2021-07-09 00:00:00
32407,57,35,11,18,North,2020-03-13 00:00:00
32507,38,39,11,21,North,2024-12-07 00:00:00
19861,48,15,11,20,East,2022-12-29 00:00:00
18269,38,26,22,12,East,2021-07-31 00:00:00
32813,22,42,11,12,West,2022-12-08 00:00:00
18574,13,40,11,20,West,2020-12-02 00:00:00
20661,29,29,11,11,North,2024-06-22 00:00:00
29255,113,24,11,13,South,2024-04-15 00:00:00
23533,60,29,22,22,North,2022-08-15 00:00:00
17597,60,39,11,21,East,2022-09-02 00:00:00
41483,52,19,11,22,South,2024-12-01 00:00:00
16352,45,45,11,15,West,2022-01-18 00:00:00
25151,15,38,22,11,West,2021-12-20 00:00:00
16329,26,27,11,11,South,2023-08-10 00:00:00
15008,37,25,11,22,West,2020-10-25 00:00:00
18902,106,33,22,20,West,2022-09-02 00:00:00
37513,107,39,11,21,North,2024-05-13 00:00:00
17323,19,32,22,13,North,2021-02-01 00:00:00
29774,81,43,22,13,East,2021-11-14 00:00:00
21640,91,39,11,14,West,2020-11-02 00:00:00
32915,89,40,22,22,East,2020-09-21 00:00:00
15261,6,20,11,18,North,2020-11-12 00:00:00
44184,28,29,11,14,East,2023-04-02 00:00:00
40269,63,40,22,13,South,2022-07-19 00:00:00
37683,55,32,22,21,West,2024-07-27 00:00:00
21524,91,16,22,20,West,2023-11-27 00:00:00
22006,69,19,11,16,West,2021-07-21 00:00:00
24500,57,34,11,11,South,2022-12-25 00:00:00
28390,102,38,22,11,North,2021-10-22 00:00:00
38448,83,35,22,21,East,2022-04-07 00:00:00
38147,71,18,11,12,East,2020-09-26 00:00:00
16753,13,40,22,20,South,2023-07-30 00:00:00
15686,28,29,11,12,South,2024-12-06 00:00:00
24613,106,38,11,13,North,2023-09-07 00:00:00
40253,103,25,22,13,West,2024-09-14 00:00:00
25508,96,17,22,18,East,2023-04-04 00:00:00
32269,28,19,11,12,East,2021-08-09 00:00:00
42899,56,20,11,17,North,2024-10-01 00:00:00
35414,116,40,22,21,East,2022-12-21 00:00:00
22259,34,23,22,21,North,2023-06-13 00:00:00
30316,80,42,11,21,East,2021-12-05 00:00:00
24739,7,15,22,18,North,2023-07-18 00:00:00
37180,113,35,22,17,East,2021-11-03 00:00:00
35774,119,35,22,21,East,2022-09-06 00:00:00
33981,113,28,11,22,West,2022-06-06 00:00:00
34418,86,21,22,20,West,2021-08-03 00:00:00
17275,100,34,22,22,East,2022-02-17 00:00:00
41944,31,38,11,20,East,2024-07-23 00:00:00
15724,94,24,11,22,East,2022-05-23 00:00:00
40561,9,19,11,22,East,2023-12-11 00:00:00
26005,120,28,11,16,South,2021-06-07 00:00:00
41168,48,45,11,16,West,2023-03-24 00:00:00
33889,49,35,11,16,West,2020-08-27 00:00:00
23761,108,28,11,18,West,2021-03-21 00:00:00
40568,109,35,22,16,South,2022-10-30 00:00:00
35487,98,40,11,13,North,2020-11-15 00:00:00
15615,11,41,11,11,West,2020-02-29 00:00:00
35836,119,39,22,20,North,2022-02-28 00:00:00
28409,71,44,22,15,North,2024-04-02 00:00:00
34935,83,24,22,17,South,2022-02-06 00:00:00
30962,119,39,22,22,West,2022-10-21 00:00:00
36262,104,17,11,12,North,2024-09-30 00:00:00
21350,72,15,22,22,East,2024-03-28 00:00:00
36000,74,26,11,15,North,2024-12-10 00:00:00
25503,68,24,22,19,West,2022-08-14 00:00:00
24387,64,19,22,21,North,2024-06-03 00:00:00
40054,64,32,11,12,West,2023-09-28 00:00:00
29615,63,44,11,16,South,2021-10-10 00:00:00
32950,95,20,11,13,West,2022-06-05 00:00:00
39219,82,37,11,11,West,2020-03-09 00:00:00
29618,44,15,11,18,North,2021-03-21 00:00:00
31588,53,45,11,21,North,2024-07-23 00:00:00
36542,27,27,22,20,East,2020-05-11 00:00:00
30353,28,33,22,12,North,2020-08-21 00:00:00
36139,34,27,11,18,West,2022-03-23 00:00:00
33697,77,21,11,17,North,2024-01-16 00:00:00
44841,48,17,11,15,West,2024-09-02 00:00:00
18499,103,24,22,15,South,2020-09-19 00:00:00
30120,33,43,22,16,West,2021-03-21 00:00:00
21982,85,37,11,11,East,2023-08-12 00:00:00
27528,58,17,22,18,South,2021-10-09 00:00:00
37621,66,24,22,16,West,2022-09-20 00:00:00
21976,101,33,11,21,South,2022-06-01 00:00:00
40787,93,19,11,21,South,2020-06-12 00:00:00
19134,38,37,22,12,East,2021-12-10 00:00:00
32220,65,24,11,17,North,2023-04-14 00:00:00
21383,103,27,11,21,North,2024-09-17 00:00:00
38953,39,26,11,20,South,2021-05-13 00:00:00
15419,42,43,22,15,North,2023-08-01 00:00:00
27666,50,27,22,12,East,2020-01-13 00:00:00
22314,68,26,22,13,South,2021-08-13 00:00:00
17450,75,43,11,16,West,2023-03-16 00:00:00
15370,53,17,22,19,West,2023-01-30 00:00:00
29513,17,24,11,12,West,2023-03-16 00:00:00
24978,55,20,22,19,South,2020-05-09 00:00:00
31019,35,38,22,21,West,2022-10-03 00:00:00
31537,88,17,22,16,North,2022-05-21 00:00:00
30147,80,45,11,15,South,2022-06-21 00:00:00
22612,111,41,11,20,North,2023-08-20 00:00:00
37001,75,22,22,22,West,2020-06-13 00:00:00
33733,83,15,11,12,West,2020-12-02 00:00:00
27372,28,23,11,13,West,2021-03-28 00:00:00
33239,64,31,22,19,North,2023-07-18 00:00:00
23788,21,18,22,16,West,2020-09-13 00:00:00
42725,78,30,11,11,West,2024-04-12 00:00:00
21774,55,17,22,18,South,2022-03-28 00:00:00
28739,67,18,22,11,South,2024-02-06 00:00:00
25561,11,34,11,14,West,2023-08-05 00:00:00
21776,77,42,11,18,West,2021-11-26 00:00:00
41526,25,36,22,20,West,2020-06-26 00:00:00
19191,31,33,22,21,North,2024-06-21 00:00:00
42056,26,25,11,17,East,2020-04-03 00:00:00
31963,114,21,22,18,South,2023-12-29 00:00:00
24582,54,33,22,19,East,2022-09-11 00:00:00
22442,110,31,11,11,East,2020-08-22 00:00:00
21254,88,41,22,18,East,2021-02-11 00:00:00
16687,14,22,11,19,South,2024-08-03 00:00:00
25046,58,41,22,16,South,2023-05-25 00:00:00
26429,69,29,11,12,South,2024-03-09 00:00:00
19433,23,38,11,19,West,2024-12-21 00:00:00
41654,10,35,22,18,West,2020-06-05 00:00:00
36019,12,31,22,19,West,2020-11-05 00:00:00
27975,92,29,22,19,South,2020-04-24 00:00:00
